category,year,filename,bytes,source_url
autism,,uspstf_report_to_congress_2016.pdf,384734,https://iacc.hhs.gov/publications/autism/uspstf_report_to_congress_2016.pdf
general,2011,iacc_response_letter_sebelius_wandering_032311.pdf,36726,https://iacc.hhs.gov/publications/general/2011/iacc_response_letter_sebelius_wandering_032311.pdf
general,2011,letter_seclusion_restraint_090711.pdf,153348,https://iacc.hhs.gov/publications/general/2011/letter_seclusion_restraint_090711.pdf
general,2011,letter_wandering_020911.pdf,136695,https://iacc.hhs.gov/publications/general/2011/letter_wandering_020911.pdf
general,2013,a_res_67_82.pdf,76782,https://iacc.hhs.gov/publications/general/2013/a_res_67_82.pdf
general,2013,iacc_response_letter_sebelius_coverage_070213.pdf,44385,https://iacc.hhs.gov/publications/general/2013/iacc_response_letter_sebelius_coverage_070213.pdf
general,2014,letter_gao_response_040314.pdf,118426,https://iacc.hhs.gov/publications/general/2014/letter_gao_response_040314.pdf
general,2014,letter_iacc_gao_public_member_response_030614.pdf,163931,https://iacc.hhs.gov/publications/general/2014/letter_iacc_gao_public_member_response_030614.pdf
international-portfolio-analysis,2016,portfolio_analysis_2016.pdf,621588,https://iacc.hhs.gov/publications/international-portfolio-analysis/2016/portfolio_analysis_2016.pdf
portfolio-analysis,2008,portfolio_analysis_2008.pdf,646968,https://iacc.hhs.gov/publications/portfolio-analysis/2008/portfolio_analysis_2008.pdf
portfolio-analysis,2009,portfolio_analysis_2009.pdf,2374941,https://iacc.hhs.gov/publications/portfolio-analysis/2009/portfolio_analysis_2009.pdf
portfolio-analysis,2010,portfolio_analysis_2010.pdf,3616082,https://iacc.hhs.gov/publications/portfolio-analysis/2010/portfolio_analysis_2010.pdf
portfolio-analysis,2012,portfolio_analysis_2012.pdf,4520038,https://iacc.hhs.gov/publications/portfolio-analysis/2012/portfolio_analysis_2012.pdf
portfolio-analysis,2013,portfolio_analysis_2013.pdf,14245834,https://iacc.hhs.gov/publications/portfolio-analysis/2013/portfolio_analysis_2013.pdf
portfolio-analysis,2015,portfolio_analysis_2015.pdf,5089207,https://iacc.hhs.gov/publications/portfolio-analysis/2015/portfolio_analysis_2015.pdf
portfolio-analysis,2016,portfolio_analysis_2016.pdf,17284885,https://iacc.hhs.gov/publications/portfolio-analysis/2016/portfolio_analysis_2016.pdf
portfolio-analysis,2018,portfolio_analysis_2018.pdf,5657814,https://iacc.hhs.gov/publications/portfolio-analysis/2018/portfolio_analysis_2018.pdf?ver=4
portfolio-analysis,2020,at-a-glance.pdf,955344,https://iacc.hhs.gov/publications/portfolio-analysis/2020/at-a-glance.pdf?ver=2
portfolio-analysis,2020,portfolio_analysis_2020.pdf,15373714,https://iacc.hhs.gov/publications/portfolio-analysis/2020/portfolio_analysis_2020.pdf?ver=5
portfolio-analysis,2022,2021-22_AutismPortfolioAnalysisReport.pdf,19231798,https://iacc.hhs.gov/publications/portfolio-analysis/2022/2021-22_AutismPortfolioAnalysisReport.pdf?ver=5
portfolio-analysis,2022,2021-22_AutismPortfolioAnalysisReport_AtAGlance.pdf,504567,https://iacc.hhs.gov/publications/portfolio-analysis/2022/2021-22_AutismPortfolioAnalysisReport_AtAGlance.pdf?ver=2
publications-analysis,2012,publications_analysis_2012.pdf,5857878,https://iacc.hhs.gov/publications/publications-analysis/2012/publications_analysis_2012.pdf
report-to-congress,2009,report_to_congress_2009.pdf,1343597,https://iacc.hhs.gov/publications/report-to-congress/2009/report_to_congress_2009.pdf
report-to-congress,2012,report_to_congress_2012.pdf,2660211,https://iacc.hhs.gov/publications/report-to-congress/2012/report_to_congress_2012.pdf
report-to-congress,2017,report_to_congress_2017.pdf,2053539,https://iacc.hhs.gov/publications/report-to-congress/2017/report_to_congress_2017.pdf
report-to-congress,2018,report_to_congress_2018.pdf,2250485,https://iacc.hhs.gov/publications/report-to-congress/2018/report_to_congress_2018.pdf
report-to-congress,2021,report_to_congress_2021.pdf,7071806,https://iacc.hhs.gov/publications/report-to-congress/2021/report_to_congress_2021.pdf?ver=2
report-to-congress,2022,report_to_congress_2022.pdf,5097194,https://iacc.hhs.gov/publications/report-to-congress/2022/report_to_congress_2022.pdf?ver=3
report-to-congress,2023,report_to_congress_2023.pdf,10065406,https://iacc.hhs.gov/publications/report-to-congress/2023/report_to_congress_2023.pdf?ver=5
strategic-plan,2009,strategic_plan_2009.pdf,1362075,https://iacc.hhs.gov/publications/strategic-plan/2009/strategic_plan_2009.pdf
strategic-plan,2010,strategic_plan_2010.pdf,1200959,https://iacc.hhs.gov/publications/strategic-plan/2010/strategic_plan_2010.pdf
strategic-plan,2011,strategic_plan_2011.pdf,873800,https://iacc.hhs.gov/publications/strategic-plan/2011/strategic_plan_2011.pdf
strategic-plan,2012,strategic_plan_2012.pdf,1124880,https://iacc.hhs.gov/publications/strategic-plan/2012/strategic_plan_2012.pdf
strategic-plan,2013,strategic_plan_2013.pdf,8358739,https://iacc.hhs.gov/publications/strategic-plan/2013/strategic_plan_2013.pdf
strategic-plan,2017,strategic_plan_2017.pdf,4695682,https://iacc.hhs.gov/publications/strategic-plan/2017/strategic_plan_2017.pdf
strategic-plan,2019,strategic_plan_2019.pdf,5741543,https://iacc.hhs.gov/publications/strategic-plan/2019/strategic_plan_2019.pdf?version=3
strategic-plan,2023,strategic_plan_2023.pdf,6897814,https://iacc.hhs.gov/publications/strategic-plan/2023/strategic_plan_2023.pdf?ver=8
strategic-plan,2023,strategic_plan_2023_easy_read.pdf,1261831,https://iacc.hhs.gov/publications/strategic-plan/2023/strategic_plan_2023_easy_read.pdf?ver=5
summary-of-advances,2007,summary_of_advances_2007.pdf,165809,https://iacc.hhs.gov/publications/summary-of-advances/2007/summary_of_advances_2007.pdf
summary-of-advances,2008,summary_of_advances_2008.pdf,277782,https://iacc.hhs.gov/publications/summary-of-advances/2008/summary_of_advances_2008.pdf
summary-of-advances,2009,summary_of_advances_2009.pdf,839994,https://iacc.hhs.gov/publications/summary-of-advances/2009/summary_of_advances_2009.pdf
summary-of-advances,2010,summary_of_advances_2010.pdf,495128,https://iacc.hhs.gov/publications/summary-of-advances/2010/summary_of_advances_2010.pdf
summary-of-advances,2011,summary_of_advances_2011.pdf,564850,https://iacc.hhs.gov/publications/summary-of-advances/2011/summary_of_advances_2011.pdf
summary-of-advances,2012,summary_of_advances_2012.pdf,997294,https://iacc.hhs.gov/publications/summary-of-advances/2012/summary_of_advances_2012.pdf
summary-of-advances,2013,summary_of_advances_2013.pdf,3711023,https://iacc.hhs.gov/publications/summary-of-advances/2013/summary_of_advances_2013.pdf
