doc_id,series,year,is_draft,person_first,spectrum_ref,those_with,identity_first,self_advocate,asd_phrase,autistic_other,autism_bare,asd_acronym,person,total,n_words,total_p10k,person_p10k,abstract_p10k,agency_p10k,agency_autism_ratio
SOA-2007,summary-of-advances,2007,False,36,0,2,1,0,5,2,53,48,39,147,4367,336.6155255324021,89.30615983512708,247.30936569727504,9.159606136936112,0.0272108843537415
PA-2008,portfolio-analysis,2008,False,1,0,0,0,0,5,0,24,38,1,68,2163,314.3781784558484,4.623208506703652,309.75496994914477,73.97133610725844,0.2352941176470588
SOA-2008,summary-of-advances,2008,False,90,4,1,19,0,26,5,144,41,114,330,9818,336.1173355062131,116.1132613566918,220.00407414952133,24.444897127724587,0.07272727272727272
PA-2009,portfolio-analysis,2009,False,24,0,0,0,0,8,2,55,128,24,217,7908,274.40566514921596,30.349013657056148,244.0566514921598,85.98887202832574,0.3133640552995392
RTC-2009,report-to-congress,2009,False,180,6,5,0,0,62,2,188,234,191,677,21984,307.95123726346435,86.88136826783115,221.06986899563321,126.45560407569141,0.4106351550960118
SP-2009,strategic-plan,2009,False,74,4,2,2,0,5,2,42,196,82,327,10423,313.7292526144104,78.67216732226807,235.05708529214235,8.634750071956251,0.027522935779816515
SOA-2009,summary-of-advances,2009,False,51,0,0,0,0,13,1,58,61,51,184,5940,309.76430976430976,85.85858585858585,223.9057239057239,11.784511784511784,0.03804347826086956
PA-2010,portfolio-analysis,2010,False,83,0,2,0,0,13,3,146,160,85,407,18220,223.3809001097695,46.65203073545554,176.72886937431394,40.065861690450056,0.17936117936117935
SP-2010,strategic-plan,2010,False,132,3,4,1,0,7,2,80,239,140,468,16347,286.29106258029,85.64262555820639,200.64843702208358,15.293325992536857,0.053418803418803416
SOA-2010,summary-of-advances,2010,False,50,1,2,0,0,11,1,36,64,53,165,7059,233.74415639609012,75.08145629692591,158.66270009916423,7.083156254426973,0.0303030303030303
SP-2011,strategic-plan,2011,False,244,9,7,2,0,10,5,266,413,262,956,36616,261.08804894035393,71.55341927026437,189.53462967008954,31.953244483285992,0.12238493723849372
SOA-2011,summary-of-advances,2011,False,37,5,2,0,0,13,5,89,21,44,172,6848,251.1682242990654,64.25233644859813,186.91588785046727,11.682242990654204,0.046511627906976744
PA-2012,portfolio-analysis,2012,False,91,5,8,1,1,14,4,326,303,106,753,39159,192.2929594729181,27.06912842513854,165.22383104777958,37.028524732500834,0.19256308100929617
PUBA-2012,publications-analysis,2012,False,8,5,0,0,1,16,5,362,139,14,536,20583,260.4090754506146,6.801729582665306,253.60734586794928,12.63178351066414,0.048507462686567165
RTC-2012,report-to-congress,2012,False,288,10,6,3,4,105,9,434,355,311,1214,38819,312.7334552667508,80.11540740359104,232.61804786315977,99.95105489579845,0.3196046128500824
SP-2012,strategic-plan,2012,False,93,3,4,2,1,13,5,194,157,103,472,18417,256.28495411847746,55.92658956398979,200.35836455448765,22.26204050605419,0.08686440677966104
SOA-2012,summary-of-advances,2012,False,65,0,1,0,1,11,3,43,100,67,224,8376,267.43075453677176,79.9904489016237,187.44030563514806,8.357211079274117,0.03125
PA-2013,portfolio-analysis,2013,False,59,4,4,0,1,10,3,160,195,68,436,23309,187.0522115920889,29.173280707023036,157.87893088506587,36.03758204985199,0.1926605504587156
SP-2013,strategic-plan,2013,False,144,15,5,1,1,36,8,255,389,166,854,42867,199.2208458721161,38.72442671518884,160.49641915692723,20.295332073623065,0.1018735362997658
SOA-2013,summary-of-advances,2013,False,71,0,6,0,1,27,8,68,153,78,334,11615,287.55919070167886,67.15454154111063,220.40464916056823,8.609556607834696,0.029940119760479042
SOA-2014,summary-of-advances,2014,False,56,1,0,1,2,31,3,82,146,60,322,10073,319.6664350243224,59.565174228134616,260.10126079618783,6.949270326615705,0.02173913043478261
PA-2015,portfolio-analysis,2015,False,63,4,4,0,2,9,3,168,222,73,475,27837,170.63620361389516,26.224090239609154,144.412113374286,62.8659697524877,0.368421052631579
SOA-2015,summary-of-advances,2015,False,106,4,3,0,2,24,2,62,137,115,340,11080,306.85920577617327,103.79061371841155,203.06859205776172,3.6101083032490973,0.011764705882352941
USPSTF-2016,autism,2016,False,1,0,0,0,0,8,0,1,2,1,12,13693,8.763601840356387,0.7303001533630321,8.033301686993354,6.57270138026729,0.75
IPA-2016,international-portfolio-analysis,2016,False,20,6,2,15,1,26,5,259,167,44,501,14291,350.57028899307255,30.788608214960465,319.7816807781121,51.780841088797146,0.1477045908183633
PA-2016,portfolio-analysis,2016,False,34,10,5,1,1,9,2,148,218,51,428,17834,239.9910283727711,28.59706179208254,211.39396658068856,84.66973197263654,0.352803738317757
SOA-2016,summary-of-advances,2016,False,134,0,0,0,2,30,2,43,186,136,397,12627,314.4056387106993,107.70570998653679,206.6999287241625,4.751722499406035,0.015113350125944584
RTC-2017,report-to-congress,2017,False,219,7,8,0,1,8,1,132,128,235,504,28343,177.82168436651025,82.91288854390854,94.90879582260172,47.6308083124581,0.26785714285714285
SP-2017,strategic-plan,2017,False,316,49,9,3,1,20,7,284,585,378,1274,48337,263.56621221838344,78.20096406479509,185.36524815358837,8.068353435256636,0.030612244897959183
SOA-2017,summary-of-advances,2017,False,49,4,1,0,1,31,4,55,243,55,388,11799,328.84142723959656,46.614119840664465,282.2273073989321,2.5425883549453343,0.007731958762886598
PA-2018,portfolio-analysis,2018,False,45,24,6,3,1,13,4,178,291,79,565,21329,264.8975573163299,37.038773500867364,227.85878381546252,29.53724975385625,0.11150442477876106
RTC-2018,report-to-congress,2018,False,367,18,20,4,0,54,8,370,450,409,1291,46900,275.26652452025587,87.20682302771854,188.05970149253733,83.5820895522388,0.30364058869093724
SOA-2018,summary-of-advances,2018,False,74,4,1,0,1,19,1,52,167,80,319,10161,313.94547780730244,78.73240822753665,235.21306957976577,3.936620411376833,0.012539184952978056
SP-2019,strategic-plan,2019,False,169,48,3,24,4,18,8,203,239,248,716,25108,285.1680739206627,98.77329934682173,186.394774573841,30.269236896606657,0.10614525139664804
SOA-2019,summary-of-advances,2019,False,113,7,1,3,1,25,4,68,272,125,494,13924,354.78310830221204,89.77305372019535,265.01005458201666,4.309106578569376,0.01214574898785425
PA-2020,portfolio-analysis,2020,False,45,31,4,11,1,6,2,601,3,92,704,27446,256.50367995336296,33.52036726663266,222.9833126867303,96.55323180062668,0.37642045454545453
SOA-2020,summary-of-advances,2020,False,69,17,0,44,2,12,10,115,98,132,367,9609,381.9336039129982,137.37121448641898,244.56238942657922,6.2441461130190445,0.016348773841961855
RTC-2021,report-to-congress,2021,False,243,64,23,37,0,16,3,207,263,367,856,36964,231.57666919164592,99.28579158099772,132.29087761064818,81.43058110594092,0.3516355140186916
SOA-2021,summary-of-advances,2021,False,90,12,1,44,1,13,3,137,46,148,347,10296,337.02408702408707,143.74514374514374,193.27894327894333,6.7987567987567985,0.020172910662824204
PA-2022,portfolio-analysis,2022,False,34,25,2,16,1,6,7,497,4,78,592,23323,253.82669467907218,33.44338206920207,220.3833126098701,115.76555331646873,0.4560810810810811
RTC-2022,report-to-congress,2022,False,223,49,10,65,6,15,14,152,132,353,666,39868,167.05126918832147,88.54218922444066,78.50907996388081,48.66057991371526,0.2912912912912913
SOA-2022,summary-of-advances,2022,False,30,10,0,127,2,13,24,150,67,169,423,11597,364.749504182116,145.72734327843406,219.02216090368196,4.3114598603087,0.01182033096926714
RTC-2023,report-to-congress,2023,False,291,81,19,63,5,48,23,537,277,459,1344,64945,206.94433751635998,70.67518669643545,136.26915081992453,91.61598275463855,0.4427083333333334
SP-2023,strategic-plan,2023,False,123,192,1,364,4,6,73,808,108,684,1679,60494,277.5481865970179,113.06906470063147,164.4791218963864,12.23261811088703,0.044073853484216795
SOA-2023,summary-of-advances,2023,False,37,5,0,129,1,10,30,161,14,172,387,11133,347.61519805982215,154.49564358214317,193.11955447767897,9.880535345369623,0.028423772609819126
SP-2026-DRAFT,strategic-plan,2026,True,39,0,3,183,0,1,20,630,9,225,885,81788,108.20658287279308,27.51014818799824,80.69643468479484,166.8948990071893,1.542372881355932
