,SOA-2007,PA-2008,SOA-2008,PA-2009,RTC-2009,SP-2009,SOA-2009,PA-2010,SP-2010,SOA-2010,SP-2011,SOA-2011,PA-2012,PUBA-2012,RTC-2012,SP-2012,SOA-2012,PA-2013,SP-2013,SOA-2013,SOA-2014,PA-2015,SOA-2015,USPSTF-2016,IPA-2016,PA-2016,SOA-2016,RTC-2017,SP-2017,SOA-2017,PA-2018,RTC-2018,SOA-2018,SP-2019,SOA-2019,PA-2020,SOA-2020,RTC-2021,SOA-2021,PA-2022,RTC-2022,SOA-2022,RTC-2023,SP-2023,SOA-2023,SP-2026-DRAFT
SOA-2007,1.0000000000000004,0.10927567305823838,0.24009812516922593,0.10298922285510288,0.14523325979456594,0.14950645097348456,0.1507600542084232,0.1059078602569635,0.13703947287949267,0.1859014309914042,0.14457639433320468,0.16783457139008506,0.10064093144747091,0.1251188620655462,0.1379843183817886,0.15991351721269012,0.17428607010835653,0.09618865205833789,0.12828982482086793,0.20311404653457144,0.1778509172786547,0.09436965399956,0.1629952157508727,0.09021550993397778,0.10202915026951351,0.0966884446715084,0.1634076941187671,0.1029399400227092,0.14211487193487343,0.16364934432209985,0.09332122949337053,0.11581988151458078,0.16054704176013918,0.10871893650454817,0.15372903197915372,0.08654217653865434,0.14145356665738412,0.09934721911847526,0.1422265523405253,0.08443359657730083,0.09441063450792908,0.13775982685978297,0.10833986236045692,0.11936690480136919,0.13276965889298115,0.1165944799879111
PA-2008,0.10927567305823838,1.0000000000000007,0.08428030189447148,0.3767109198012025,0.13867913598739365,0.09361264077225886,0.06288113521509976,0.25570823883675925,0.08901956957579955,0.1729746570236614,0.09371589719964912,0.16499546052283365,0.18785664460792068,0.18305368999620517,0.0969038814750558,0.12511554827148966,0.10259454610040308,0.19587044657844452,0.12930938264120753,0.10801352846718362,0.10253761532666507,0.19456972955766802,0.10589005351762976,0.05846542399063468,0.19019888079660052,0.1918036302991353,0.09606822727810313,0.10977713401667884,0.08680343377804872,0.08264574370500857,0.19268729755668879,0.08826467007010488,0.09270206043173891,0.1498649828209312,0.08222803879013588,0.1614937144889378,0.09078096039225057,0.08018197563301686,0.09018370654362327,0.15873399277361303,0.0691566777245921,0.08706213238676958,0.08601940099532722,0.07625284451596673,0.08596589321068511,0.0710571597748409
SOA-2008,0.24009812516922593,0.08428030189447148,1.0000000000000029,0.09895620847603134,0.1371295141325192,0.1333144104135739,0.23690231430959338,0.10628075379192789,0.13526303142633989,0.20557100765833736,0.15994188594875985,0.2026474892590242,0.10068127397064783,0.1402298739058649,0.13600602029890196,0.18436326769690706,0.16729573532459655,0.09904724076563375,0.13978274850515912,0.2067030205832987,0.19162529639010542,0.10281174348724481,0.1778035752898493,0.09929487577664338,0.12976728223721493,0.10597577076067059,0.1861383404289124,0.10529620510825886,0.1550288446401703,0.17915898083625129,0.10302986443102444,0.13527375070760844,0.18048990567548573,0.12201645779298308,0.17931546832513842,0.10045685519035664,0.13762074834441135,0.11029874551536245,0.157189282527795,0.10242177048311256,0.10336008228803889,0.15714450590530854,0.1208604169464025,0.1413389685689306,0.14908519767374526,0.12357670284956138
PA-2009,0.10298922285510288,0.3767109198012025,0.09895620847603134,0.9999999999999984,0.14725157992690271,0.20118418396327906,0.09169861990118741,0.5452562017902612,0.2827270579405482,0.17307298798234144,0.23237902524021933,0.16678105936346216,0.31476359037731094,0.18612243657383837,0.1366207338817553,0.16599236903658632,0.12658047021546495,0.3620447414093115,0.2563997710278981,0.12968285902518692,0.12903596630209327,0.3557318773971389,0.12890316248081884,0.08022899634217785,0.19535799340285953,0.2297642465315245,0.12106535186489323,0.12799864399187177,0.14048015604551303,0.10807357963163489,0.2297388240372078,0.1237604945241325,0.11502595164819564,0.17242333952385952,0.11636844536779935,0.19988706520170985,0.10953492018395691,0.10890493979564424,0.1039048086301407,0.19009388206215888,0.10034462177654367,0.09926593290715746,0.1198026892756892,0.1257580679148631,0.1022812542134183,0.11445728095167244
RTC-2009,0.14523325979456594,0.13867913598739365,0.1371295141325192,0.14725157992690271,1.0000000000000104,0.147102510971056,0.13260521994420424,0.16594342987995536,0.1643599973307448,0.14455380874465212,0.19219646363005946,0.12939689749901603,0.1658541215133919,0.16574447278814947,0.5761271284302248,0.18497500238257725,0.14420010817469917,0.15733046942152315,0.1899174339883679,0.15045448749521634,0.15145373368605186,0.15370013918999176,0.15017827869035938,0.1217623303646364,0.17623809246977298,0.15197463692539084,0.1422868284763743,0.2373885063469207,0.19236833089324304,0.12483469028767971,0.1551791517108148,0.32944930280940005,0.13105185701038702,0.21523277100114396,0.16312518166484713,0.1445884381665566,0.15199289002867228,0.23942324397718723,0.13912578679452628,0.1450625766747102,0.213224656928743,0.13288247354551572,0.2705911281401197,0.18812848132192145,0.13512866022918316,0.18917107338253208
SP-2009,0.14950645097348456,0.09361264077225886,0.1333144104135739,0.20118418396327906,0.147102510971056,1.000000000000019,0.12124084510320488,0.17979907059810457,0.7455066556420802,0.1330163922999064,0.5532254357977153,0.13087523410907517,0.16322005983804008,0.1301576327022914,0.13696807136708108,0.17526714827652454,0.13350117085156596,0.17007315159846606,0.1964329871875789,0.13789960169518167,0.14636721457036966,0.1636772862554929,0.14510271846039416,0.09665346432465788,0.12125081814871803,0.12315652884937096,0.12654157933090682,0.12373697904936137,0.18988447955405813,0.12474383544123019,0.12382601514856618,0.13355029913857247,0.1275931938832172,0.14804378896162398,0.12946832678706305,0.10707964889823007,0.11314568960504581,0.12164597234080089,0.10487080468401341,0.10366443988098167,0.11501196795599565,0.10536791392023794,0.12454717730733472,0.16872213556583357,0.10392045141653822,0.15114901159640107
SOA-2009,0.1507600542084232,0.06288113521509976,0.23690231430959338,0.09169861990118741,0.13260521994420424,0.12124084510320488,1.0000000000000024,0.10249764366063904,0.14763179467233717,0.24046467657955187,0.16246521384443532,0.2131194842575224,0.09669152418498779,0.12305178967698611,0.1328220594020445,0.18539606785894136,0.1902927537860439,0.09462895961179733,0.14536283000019928,0.18859840727146315,0.181976683843373,0.10022329494627005,0.16623731388148702,0.10246985197491051,0.10535942048484699,0.10416965838203353,0.17427086920947585,0.09941773343054118,0.16154788910878706,0.17044958071885727,0.09535079760297395,0.13311137056937017,0.180053781637586,0.11702622518271015,0.16407940046533473,0.08248406473898466,0.1436311392402359,0.10844265353354456,0.15261754683552697,0.08355124302598689,0.09521353660603872,0.14409994214285687,0.11397519514914836,0.13564585324679918,0.14114802394747794,0.12507710619923992
PA-2010,0.1059078602569635,0.25570823883675925,0.10628075379192789,0.5452562017902612,0.16594342987995536,0.17979907059810457,0.10249764366063904,0.9999999999999946,0.23933415362595248,0.15912008058726837,0.28418710237300693,0.1689387826111012,0.4806171693175491,0.23817844562809246,0.15595730075682102,0.18659693485712078,0.13524882003611624,0.5199323116288206,0.29841873229251614,0.1409234276253299,0.13036761236125752,0.5042374299228505,0.13160584636279335,0.08732496380692423,0.21087216872968712,0.3648262299023769,0.1235675545739352,0.1419426493686771,0.1747761297454106,0.11322224018381853,0.3517175235821353,0.14580577321260407,0.12383708591298186,0.1821884239064028,0.12232245319049277,0.3010423362426712,0.1125457619886145,0.1315653416656431,0.11594923585701326,0.2729064278534567,0.123017368092648,0.10937151376512448,0.14241072402300894,0.16360351595146785,0.11453494641422811,0.14776930393857962
SP-2010,0.13703947287949267,0.08901956957579955,0.13526303142633989,0.2827270579405482,0.1643599973307448,0.7455066556420802,0.14763179467233717,0.23933415362595248,1.0000000000001192,0.15445423167679248,0.7344324442199561,0.13633881596713116,0.20223043580167835,0.13551308485696203,0.15469030393270325,0.19522119208624064,0.14001262974159723,0.2117849261647429,0.2407275911757873,0.14649574076965002,0.14868477024982987,0.20571920604037303,0.14445278412036416,0.09765743484967011,0.1293213695462599,0.1362621836791916,0.1328545655654694,0.1374705965554247,0.21290679210321942,0.12691403426490552,0.1377575045125173,0.1500414879272135,0.13225295443680676,0.1558160885844333,0.1319697816638982,0.12270260440149,0.11812360638378083,0.13460563700109007,0.11165218568496207,0.11767206837447275,0.12637501898605308,0.11387906034962544,0.14242325892185054,0.1877616283111351,0.10994815004313027,0.1651364319121751
SOA-2010,0.1859014309914042,0.1729746570236614,0.20557100765833736,0.17307298798234144,0.14455380874465212,0.1330163922999064,0.24046467657955187,0.15912008058726837,0.15445423167679248,0.999999999999987,0.1720999535626293,0.32228367759055165,0.12192087971609657,0.17290357587032612,0.14059303732195422,0.2129390584197387,0.23405073203142954,0.12307055740993463,0.16499506217076568,0.23628644632353996,0.20513213953486426,0.12345896222006962,0.20877699013212445,0.08824163263760443,0.11800052225997258,0.12205965894157615,0.2128798883389273,0.11723961433124794,0.16735114241681734,0.197455694617214,0.11300559710396758,0.13655659218242033,0.20380935356792101,0.13454798619937675,0.1795108476800651,0.10103556577832572,0.17160858503956355,0.11175044464988511,0.1753071774362228,0.10137965123351078,0.1157714200351047,0.16356326892187953,0.12745725901293195,0.14208756116241342,0.16239934777874568,0.12999934782148684
