doc_id,series,series_short,year,variant,is_draft,file_name,path,source_url,bytes,backend,error,n_pages,n_pages_kept,ref_cut_page,ref_cut_status,ref_pages_dropped,running_lines_removed,words_raw,n_words,pdf_title,in_analysis
USPSTF-2016,autism,USPSTF,2016,full,False,uspstf_report_to_congress_2016.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/autism/uspstf_report_to_congress_2016.pdf,https://iacc.hhs.gov/publications/autism/uspstf_report_to_congress_2016.pdf,384734,pymupdf (cached),,52,51,,"unverified(before=4,after=7)",1,64,14496,13693,High-Priority Evidence Gaps For Clinical Preventive Services,True
LETTER-2009,general,LETTER,2009,full,False,2009_letter_to_nvac.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/general/2009_letter_to_nvac.pdf,,106764,pymupdf (cached),,2,2,,too_short,0,0,556,556,IACC Letter to The National Vaccine Advisory Committee (NVAC) Vaccine Safety Working Group,False
LETTER-2011a,general,LETTER,2011,full,False,iacc_response_letter_sebelius_wandering_032311.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/general/2011/iacc_response_letter_sebelius_wandering_032311.pdf,https://iacc.hhs.gov/publications/general/2011/iacc_response_letter_sebelius_wandering_032311.pdf,36726,pymupdf (cached),,1,1,,too_short,0,0,256,256,"Response Letter: IACC Letter to Secretary Sebelius on Wandering – March 23, 2011",False
LETTER-2011b,general,LETTER,2011,full,False,letter_seclusion_restraint_090711.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/general/2011/letter_seclusion_restraint_090711.pdf,https://iacc.hhs.gov/publications/general/2011/letter_seclusion_restraint_090711.pdf,153348,pymupdf (cached),,5,5,,too_short,0,4,1894,1785,"IACC Letter to the Secretary on Seclusion and Restraint – September 7, 2011",False
LETTER-2011c,general,LETTER,2011,full,False,letter_wandering_020911.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/general/2011/letter_wandering_020911.pdf,https://iacc.hhs.gov/publications/general/2011/letter_wandering_020911.pdf,136695,pymupdf (cached),,4,4,,too_short,0,0,1486,1472,"IACC Letter to Secretary Sebelius on Wandering – February 9, 2011",False
LETTER-2013a,general,LETTER,2013,full,False,a_res_67_82.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/general/2013/a_res_67_82.pdf,https://iacc.hhs.gov/publications/general/2013/a_res_67_82.pdf,76782,pymupdf (cached),,4,4,,too_short,0,10,1460,1394,General Assembly Distr.: General,False
LETTER-2013b,general,LETTER,2013,full,False,iacc_response_letter_sebelius_coverage_070213.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/general/2013/iacc_response_letter_sebelius_coverage_070213.pdf,https://iacc.hhs.gov/publications/general/2013/iacc_response_letter_sebelius_coverage_070213.pdf,44385,pymupdf (cached),,2,2,,too_short,0,0,546,545,"Response Letter: IACC Letter to Secretary Sebelius on Health Coverage – July 2, 2013",False
LETTER-2014a,general,LETTER,2014,full,False,letter_gao_response_040314.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/general/2014/letter_gao_response_040314.pdf,https://iacc.hhs.gov/publications/general/2014/letter_gao_response_040314.pdf,118426,pymupdf (cached),,5,5,,too_short,0,4,1938,1933,Date:,False
LETTER-2014b,general,LETTER,2014,full,False,letter_iacc_gao_public_member_response_030614.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/general/2014/letter_iacc_gao_public_member_response_030614.pdf,https://iacc.hhs.gov/publications/general/2014/letter_iacc_gao_public_member_response_030614.pdf,163931,pymupdf (cached),,3,3,,too_short,0,0,1280,1279,Letter to GAO from IACC Public Members March 6 2014,False
IPA-2016,international-portfolio-analysis,IPA,2016,full,False,portfolio_analysis_2016.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/international-portfolio-analysis/2016/portfolio_analysis_2016.pdf,https://iacc.hhs.gov/publications/international-portfolio-analysis/2016/portfolio_analysis_2016.pdf,621588,pymupdf (cached),,64,64,,no_heading,0,142,14751,14291,2016 Portfolio Analysis Report,True
PA-2008,portfolio-analysis,PA,2008,full,False,portfolio_analysis_2008.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/portfolio-analysis/2008/portfolio_analysis_2008.pdf,https://iacc.hhs.gov/publications/portfolio-analysis/2008/portfolio_analysis_2008.pdf,646968,pymupdf (cached),,15,15,,no_heading,0,48,2736,2163,Autism Spectrum Disorder Research,True
PA-2009,portfolio-analysis,PA,2009,full,False,portfolio_analysis_2009.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/portfolio-analysis/2009/portfolio_analysis_2009.pdf,https://iacc.hhs.gov/publications/portfolio-analysis/2009/portfolio_analysis_2009.pdf,2374941,pymupdf (cached),,41,41,,no_heading,0,371,8768,7908,2009 Autism Spectrum Disorder Research Portfolio Analysis Report - June 2011,True
