term,prior_plans_using_it,prior_SP_mean_per10k,draft_count,titlecase_share,kind
sharing,7,7.820592342932699,0,0.059880239520958084,word
enhance,7,7.145296561118416,0,0.06989247311827956,word
scientists,7,5.729189753591956,0,0.2147239263803681,word
university,6,12.31783117180454,0,0.9332460732984293,name
evidence-based,6,6.945988033385939,0,0.034324942791762014,word
repository,6,6.889760164002938,0,0.17692307692307693,word
mutations,6,6.630627224007455,0,0.04219409282700422,word
infants,6,6.525014878594564,0,0.1362397820163488,word
various,6,3.843858315200716,0,0.07960199004975124,word
aspects,6,3.727721901777132,0,0.0106951871657754,word
additionally,5,6.2767110385243665,0,0.9291666666666667,name
prevented,5,5.534672317914863,0,0.2974683544303797,word
ndar,5,4.936499486430317,0,0.0,word
happening,5,4.5540617985968,0,0.3211009174311927,word
children's,5,4.5173227157318285,0,0.6586021505376344,word
regions,5,4.094238043065892,0,0.0761904761904762,word
suggested,5,3.9671887720147425,0,0.07784431137724551,word
stem,5,3.9495495236346763,0,0.16091954022988506,word
collaborative,5,3.348190764939956,0,0.23648648648648649,word
showed,5,3.2596753813050903,0,0.0,word
advocates,5,2.906715421621904,0,0.2545454545454545,word
explore,5,2.802941505594129,0,0.18461538461538463,word
discussed,4,10.461843670747596,0,0.0,word
vaccine,4,6.331656576988526,0,0.14285714285714285,word
collaboration,4,4.7232318508062345,0,0.24471299093655588,word
gender,4,4.306390135218497,0,0.10365853658536585,word
survey,4,4.266621403198386,0,0.36395759717314485,word
introduction,4,3.814785419719099,0,0.33587786259541985,word
aba,4,3.5255496836570437,0,0.0,word
overall,4,3.4022649749987655,0,0.29494949494949496,word
simons,4,3.260119082314494,0,1.0,name
males,4,3.2412476034009217,0,0.031055900621118012,word
international,4,3.2215114529845597,0,0.2692307692307692,word
practitioners,4,2.8149399178897183,0,0.31176470588235294,word
funders,4,2.6567434550027293,0,0.17333333333333334,word
kennedy,4,2.324568740289943,0,1.0,name
consortium,4,2.194383628348505,0,0.7096774193548387,name
techniques,4,2.1204128747687556,0,0.018691588785046728,word
examined,4,2.0593995021036826,0,0.0,word
resulted,4,1.6512409376080681,0,0.0,word
outreach,4,1.5430427398115245,0,0.17647058823529413,word
professor,3,9.82371998439715,0,0.981549815498155,name
girls,3,4.347634225550053,0,0.06827309236947791,word
associate,3,3.932300497933517,0,0.8741258741258742,name
emerged,3,3.931799784436501,0,0.0,word
pharmacological,3,3.181592440224801,0,0.11458333333333333,word
women,3,3.007396349731769,0,0.27070063694267515,word
database,3,2.8961259077918737,0,0.47126436781609193,word
foster,3,2.750789319306321,0,0.18095238095238095,word
mandell,3,2.7429839057025687,0,1.0,name
great,3,2.692075736995047,0,0.06382978723404255,word
assistant,3,2.688309491550011,0,0.9407407407407408,name
aimed,3,2.6820992096065854,0,0.004878048780487805,word
considerable,3,2.589205841569946,0,0.13043478260869565,word
washington,3,2.5547714406013142,0,1.0,name
furthermore,3,2.5503394548527223,0,0.9871794871794872,name
caa,3,2.5399026393859487,0,0.0,word
bethesda,3,2.2694493158161935,0,1.0,name
ipscs,3,2.2298389634034046,0,0.0,word
vanderbilt,3,2.2174377555580715,0,0.9875,name
pluripotent,3,2.2167680787233253,0,0.1,word
hope,3,2.194342062244756,0,0.23076923076923078,word
chair,3,2.0737250436465726,0,0.6382978723404256,word
edition,3,2.018118881101322,0,0.2054794520547945,word
faced,3,1.5517604137129213,0,0.0,word
revealed,3,1.5276489014338153,0,0.0,word
cost-effective,3,0.9847997988108423,0,0.0,word
