term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
life course,59,13,10.698484079205048,0.8805678985585782,2.47875537154634,8.127337661918334,93.898491141833
lead agencies,97,2,17.589033147167623,0.1354719843936274,4.77781142350749,6.957806281586142,234.3100104917201
federal autism,39,9,7.071879306593167,0.6096239297713233,2.431950099585535,6.607604248147456,60.94962600616905
national autism,29,10,5.2585769202872275,0.677359921968137,2.025382051258595,5.569840515755095,37.46689843322162
medication effects,27,3,4.89591644302604,0.2032079765904411,3.1564620181566028,5.2258497726440485,52.712878366255275
clinically meaningful,29,2,5.2585769202872275,0.1354719843936274,3.6221971463099507,5.0198737280382195,61.9600037086021
functional outcomes,24,9,4.351925727134256,0.6096239297713233,1.94866002067623,5.005459078413367,29.541164438676308
standards care,22,6,3.989265249873069,0.4064159531808822,2.2634075176338353,4.942216004531845,32.004767846412186
data elements,27,2,4.89591644302604,0.1354719843936274,3.5530274690812,4.906613223123088,57.027680203623746
sleep disruption,42,1,7.61587002248495,0.0677359921968137,4.643430378502681,4.7491315799605935,100.51233394559733
strategic objectives,20,5,3.626604772611881,0.3386799609840685,2.354070575945002,4.724266642310914,30.23791507857499
caregivers burden,24,2,4.351925727134256,0.1354719843936274,3.439039559742116,4.719805021546037,49.668604454899494
immune activation,20,6,3.626604772611881,0.4064159531808822,2.1719589535263273,4.682405734081168,27.80221876464008
trials design,20,3,3.626604772611881,0.2032079765904411,2.859580672835623,4.646172627087694,36.17667117015885
federal implementation,38,1,6.890549067962573,0.0677359921968137,4.552282093426044,4.629335785290056,90.29322636281324
minimally speaking,20,7,3.626604772611881,0.4741519453776959,2.0192823460397067,4.610879450431753,25.624474346937575
adaptive function,22,2,3.989265249873069,0.1354719843936274,3.350008129891007,4.586376150214376,44.793919997519474
common data,20,8,3.626604772611881,0.5418879375745096,1.8864556470423164,4.520792092695447,23.659333034839385
immune metabolic,18,4,3.2639442953506927,0.2709439687872548,2.448387708154021,4.502147934150872,28.55270389870287
clinical care,18,5,3.2639442953506927,0.3386799609840685,2.2365607279861504,4.471465844583555,25.964660062486224
defined subgroups,33,1,5.983897874809602,0.0677359921968137,4.4187503372546955,4.467778630306787,77.55045833245856
autism coordinator,18,3,3.2639442953506927,0.2032079765904411,2.739973745055641,4.453605839303927,31.555150391758062
agencies priority,30,1,5.439907158917821,0.0677359921968137,4.3265135389204525,4.361304782443202,69.92550416792979
maternal immune,17,3,3.082614056720099,0.2032079765904411,2.696491242466129,4.333268697308815,29.26746991320151
agencies cdc,18,2,3.2639442953506927,0.1354719843936274,3.1553686764428566,4.26746644289735,35.14191891083685
assistive technology,17,2,3.082614056720099,0.1354719843936274,3.077614325113851,4.194421059732718,32.75419672389106
evidence review,25,1,4.533255965764851,0.0677359921968137,4.129844165855948,4.1795916687388,57.262627540422
communication support,17,7,3.082614056720099,0.4741519453776959,1.8572569219250088,4.146664108890746,19.740437006931355
