term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
federal,580,92,105.16963136230939,26.23474392608646,1.3725526374014114,12.450926236681765,208.12934502182378
agencies,401,38,72.71210720049321,10.836089882513974,1.851383018184391,11.2949873543191,207.96549192732834
clinical,342,41,62.0138171136376,11.691570662712444,1.642705649654851,10.151096372608835,153.46343533781427
sleep,289,26,52.40348873053002,7.414166761720086,1.9389103687413511,9.621384904262964,154.11079908800474
implementation,272,22,49.32093056991061,6.273525721455457,2.0297682528364662,9.376320813394887,152.93967884341825
measures,290,46,52.584815681154694,13.11737196304323,1.376060281578214,8.792191614575977,104.06467251091189
evidence,259,36,46.96368021178988,10.26576936238166,1.5009069504348167,8.586073691012034,104.11857607128755
nih,227,12,41.1612177918004,3.421923120793886,2.3569296496623133,8.555974377723263,150.94316886225118
safety,221,27,40.07325608805237,7.699327021786243,1.6349941795946838,8.136152304844423,97.87184006631297
domain,203,14,36.80937097680828,3.9922436409262003,2.2019824079975683,8.101904027709363,122.46257104229593
evaluation,216,26,39.16662133492901,7.414166761720086,1.6410714605323715,8.056199801928846,96.65317561252279
cms,213,8,38.622640483054994,2.2812820805292575,2.761724732852895,7.98698044556872,155.98084212326216
pathways,197,7,35.72140927306025,1.9961218204631002,2.792075703512337,7.655277093628743,146.17968844616092
medication,182,18,33.001505013690185,5.13288468119083,1.8353756368062202,7.575142556170049,92.15556210413123
priority,210,32,38.07865963118098,9.12512832211703,1.4162956228463255,7.563068379413899,78.13713914967583
initiative,165,14,29.91894685307077,3.9922436409262003,1.967601263476002,7.2841051319291354,90.64865865228299
immune,159,17,28.830985149322746,4.847724421124672,1.7596675538254392,7.02348623913156,76.871011156777
functional,157,16,28.4683312480734,4.562564161058515,1.8073045463678694,7.015000636345644,78.12714294493864
guidance,151,10,27.380369544325376,2.8516026006615713,2.230659157495425,6.984204584848732,92.59472236081731
standards,149,12,27.01771564307603,3.421923120793886,2.042404167224932,6.932872980570033,83.94926686725807
