term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
federal,580,264,105.16963136230939,17.881332972094285,1.7615004438492283,23.866957469355754,629.2615907346924
agencies,401,173,72.71210720049321,11.717691682470875,1.8104943051986986,20.045985815730305,451.5002438136194
sleep,289,112,52.40348873053002,7.586020048767272,1.9209162486549127,17.31610568666447,348.70612483044374
implementation,272,109,49.32093056991061,7.382823083175291,1.8858467704805388,16.708031845150042,321.4051881077751
cms,213,31,38.622640483054994,2.0997019777837984,2.8852543407640754,15.160239499487691,388.58398212326915
domain,203,35,36.80937097680828,2.3706312652397727,2.7229853399271056,14.971186325506192,352.1161228063651
evidence,259,152,46.96368021178988,10.295312923327012,1.5062286732814814,14.800039216586267,229.40129574243173
clinical,342,282,62.0138171136376,19.100514765646167,1.169445810248254,14.585020829030933,210.39310670338443
pathways,197,69,35.72140927306025,4.673530208615552,2.018067148552081,14.496746417295817,252.30683546553982
evaluation,216,104,39.16662133492901,7.044161473855324,1.7020895633518291,14.324035989047292,224.96412923982027
nih,227,122,41.1612177918004,8.263343267407206,1.5902752687989077,14.26224655487276,216.87704117516532
safety,221,115,40.07325608805237,7.789217014359252,1.6263035540840587,14.188995474427779,216.76342700241588
hrsa,179,25,32.457524161816174,1.6933080465998376,2.9150319203747026,13.867990351651612,330.2660249062575
priority,210,109,38.07865963118098,7.382823083175291,1.6280392741616447,13.842192566453388,206.3914275746076
regression,170,29,30.825581606194127,1.9642373340558115,2.7328576468932617,13.689230895702552,295.8711988718509
action,164,32,29.7376199024461,2.167434299647792,2.6001588440124337,13.528881547641785,272.9530379744178
measures,290,237,52.584815681154694,16.05256028176646,1.1778081595678032,13.48894634460848,180.43842339152258
subgroups,161,39,29.193639050572088,2.6415605526957466,2.382747432676685,13.435514892937354,246.68444921282202
motor,155,36,28.10567734682406,2.438363587103766,2.4236363973998314,13.19020206585697,241.61821830285163
medication,182,89,33.001505013690185,6.028176645895421,1.6870659607078213,13.090787125788339,187.35695553643237
