term,draft_count,draft_per10k,titlecase_share,kind
dashboard,42,7.615731926236196,0.35714285714285715,word
workplans,42,7.615731926236196,0.023809523809523808,word
compact,39,7.071751074362182,0.5128205128205128,word
comparative-effectiveness,38,6.890424123737511,0.13157894736842105,word
napti,38,6.890424123737511,0.0,word
biomarker-defined,37,6.7090971731128395,0.05405405405405406,word
implementation-ready,34,6.165116321238826,0.4411764705882353,word
praxis,32,5.802462419989483,0.25,word
tier,31,5.621135469364812,0.45161290322580644,word
speech-motor,23,4.17051986436744,0.13043478260869565,word
prescribing,21,3.807865963118098,0.047619047619047616,word
neural-circuit,20,3.626539012493427,0.15,word
evidentiary,19,3.4452120618687556,0.10526315789473684,word
mental-health,19,3.4452120618687556,0.0,word
motor-access,19,3.4452120618687556,0.05263157894736842,word
leucovorin,18,3.2638851112440843,0.2777777777777778,word
ndr,18,3.2638851112440843,0.0,word
deterioration,18,3.2638851112440843,0.0,word
post-meal,17,3.082558160619413,0.0,word
civil-rights,17,3.082558160619413,0.0,word
decompensation,17,3.082558160619413,0.0,word
motility,17,3.082558160619413,0.0,word
avoidable,17,3.082558160619413,0.0,word
nonspeakers,17,3.082558160619413,1.0,name
communication-access,17,3.082558160619413,0.0,word
plausible,16,2.9012312099947417,0.0,word
high-support,16,2.9012312099947417,0.25,word
escalation,15,2.7199042593700704,0.2,word
functional-trajectory,14,2.538577308745399,0.07142857142857142,word
flares,13,2.357250358120728,0.07692307692307693,word
post-infectious,13,2.357250358120728,0.0,word
malabsorption,13,2.357250358120728,0.0,word
hydration,13,2.357250358120728,0.0,word
destabilization,13,2.357250358120728,0.07692307692307693,word
repurposed,13,2.357250358120728,0.3076923076923077,word
motor-planning,13,2.357250358120728,0.0,word
near-term,13,2.357250358120728,0.0,word
allergic,13,2.357250358120728,0.0,word
refusal,13,2.357250358120728,0.0,word
supported-living,12,2.175923407496056,0.0,word
repurposing,12,2.175923407496056,0.08333333333333333,word
investigational,12,2.175923407496056,0.0,word
ordinary,12,2.175923407496056,0.0,word
autism-competent,12,2.175923407496056,0.0,word
unresolved,12,2.175923407496056,0.08333333333333333,word
catatonia-like,12,2.175923407496056,0.0,word
treatment-responsive,11,1.9945964568713848,0.0,word
episodic,11,1.9945964568713848,0.0,word
pubertal,11,1.9945964568713848,0.0,word
stooling,11,1.9945964568713848,0.0,word
motor-minimized,10,1.8132695062467135,0.0,word
denial,10,1.8132695062467135,0.0,word
deprescribing,10,1.8132695062467135,0.0,word
adverse-event,10,1.8132695062467135,0.0,word
diet-responsive,10,1.8132695062467135,0.0,word
eeoc,10,1.8132695062467135,0.0,word
unclassified,10,1.8132695062467135,1.0,name
immune-mediated,10,1.8132695062467135,0.1,word
plain-language,10,1.8132695062467135,0.0,word
folate-transport,9,1.6319425556220422,0.0,word
prespecified,9,1.6319425556220422,0.0,word
sweating,9,1.6319425556220422,0.0,word
access-attainment,9,1.6319425556220422,0.3333333333333333,word
stress-responsive,9,1.6319425556220422,0.1111111111111111,word
taxonomy,9,1.6319425556220422,0.2222222222222222,word
sleep-potentiated,9,1.6319425556220422,0.0,word
whole-of-plan,9,1.6319425556220422,0.0,word
nlrp,9,1.6319425556220422,0.0,word
inflammasome,9,1.6319425556220422,0.1111111111111111,word
durability-qualified,9,1.6319425556220422,0.4444444444444444,word
standard-of-care,9,1.6319425556220422,0.3333333333333333,word
limited-communication,8,1.4506156049973709,0.125,word
seizure-related,8,1.4506156049973709,0.0,word
menstrual,8,1.4506156049973709,0.0,word
framing,8,1.4506156049973709,0.0,word
eses,8,1.4506156049973709,0.0,word
cross-domain,8,1.4506156049973709,0.25,word
sudep,8,1.4506156049973709,0.0,word
visual-motor,8,1.4506156049973709,0.0,word
discovery-to-validation,8,1.4506156049973709,0.625,word
assistive-technology,8,1.4506156049973709,0.0,word
csws,7,1.2692886543726996,0.0,word
scorecard,7,1.2692886543726996,0.42857142857142855,word
aging-network,7,1.2692886543726996,0.0,word
dehydration,7,1.2692886543726996,0.0,word
day-to-work,7,1.2692886543726996,0.0,word
