stem,rho_prior_plans,pred_per10k,target_per10k,ratio,verdict,target
impact,-0.7999999999999999,5.74657599846758,10.638750585131282,1.8439766144629226,held,SP-2013
development,-1.0,39.2682693228618,46.81050257457764,1.191825158675801,held,SP-2013
identifying,-1.0,7.662101331290106,7.659900421294523,0.9997146160428866,held,SP-2013
goal,-1.0,6.7043386648788434,26.38410145112558,3.913647621576545,reverses,SP-2013
administration,0.7999999999999999,7.662101331290106,4.681050257457764,0.6134579998660804,held,SP-2013
long-term,-1.0,0.9577626664112633,4.255500234052513,4.272335518624439,reverses,SP-2013
concern,0.7999999999999999,11.49315199693516,5.532150304268267,0.48358977736327063,reverses,SP-2013
discovery,-0.7999999999999999,3.831050665645053,2.553300140431508,0.6707720060126616,held,SP-2013
difference,-0.7999999999999999,12.450914663346422,10.213200561726032,0.8209959701443664,held,SP-2013
improvement,0.7999999999999999,6.7043386648788434,5.106600280863016,0.7634500632425,held,SP-2013
training,0.7999999999999999,9.577626664112634,11.915400655347035,1.242819344039227,held,SP-2013
affect,-1.0,2.87328799923379,4.681050257457764,1.6184003282255457,held,SP-2013
need,-0.7999999999999999,53.63470931903075,105.11085578109707,1.9588604858817498,held,SP-2013
review,0.7999999999999999,11.49315199693516,5.532150304268267,0.48358977736327063,reverses,SP-2013
research,-0.7999999999999999,175.27056795326118,151.49580833226946,0.8643926385903002,held,SP-2013
funding,-0.7999999999999999,5.74657599846758,92.76990510234478,16.012885042287593,reverses,SP-2013
course,-1.0,0.9577626664112633,2.1277501170262565,2.160975187522502,reverses,SP-2013
private,-0.7999999999999999,3.831050665645053,9.362100514915529,2.4251423971944424,reverses,SP-2013
process,-0.7999999999999999,5.74657599846758,3.8299502106472616,0.6693520815862658,held,SP-2013
practice,-1.0,5.74657599846758,15.745350865994297,2.724945014120415,reverses,SP-2013
determine,-1.0,5.74657599846758,8.511000468105026,1.4769064479389675,held,SP-2013
large-scale,-1.0,1.9155253328225266,2.553300140431508,1.3244805838717562,held,SP-2013
identified,1.0,19.155253328225267,20.426401123452063,1.0661875047156308,held,SP-2013
evidence,0.6000000000000001,10.535389330523897,9.362100514915529,0.8891595973494252,held,SP-2013
sleep,0.7999999999999999,9.577626664112634,6.80880037448402,0.7124082199874321,held,SP-2013
older,-0.7999999999999999,6.7043386648788434,3.8299502106472616,0.5744382097424572,held,SP-2013
databas,-1.0,0.9577626664112633,5.957700327673518,5.961423783505989,reverses,SP-2013
significant,-0.7999999999999999,5.74657599846758,10.638750585131282,1.8439766144629226,held,SP-2013
ideas,-1.0,0.9577626664112633,0.4255500234052513,0.47188692264095194,continues,SP-2013
known,-0.7999999999999999,8.61986399770137,5.957700327673518,0.6929405500785631,held,SP-2013
appropriate,-1.0,3.831050665645053,5.106600280863016,1.3286609027058291,held,SP-2013
marker,-0.7999999999999999,1.9155253328225266,7.234350397889272,3.706057752727524,reverses,SP-2013
test,-0.7999999999999999,10.535389330523897,5.106600280863016,0.4871431857488233,continues,SP-2013
necessary,-0.7999999999999999,0.9577626664112633,5.532150304268267,5.539151717285603,reverses,SP-2013
population,-0.7999999999999999,22.028541327459056,37.022852036256864,1.6791350246562438,held,SP-2013
trajectory,-1.0,0.0,2.553300140431508,52.06600280863015,reverses,SP-2013
sign,-1.0,0.0,1.702200093621005,35.044001872420104,reverses,SP-2013
implementation,1.0,7.662101331290106,9.362100514915529,1.2204326824296332,held,SP-2013
lifespan,-1.0,0.9577626664112633,10.213200561726032,10.184144445709867,reverses,SP-2013
live,-1.0,1.9155253328225266,2.1277501170262565,1.1079735685212317,held,SP-2013
address,-0.7999999999999999,6.7043386648788434,23.83080131069407,3.535623914576459,reverses,SP-2013
concerned,-0.7999999999999999,6.7043386648788434,3.40440018724201,0.5114342585757763,held,SP-2013
human,1.0,24.901829326692845,13.19205072556279,0.5307046049484145,held,SP-2013
intervention,-0.7999999999999999,76.62101331290107,77.45010425975573,1.0108136166594157,held,SP-2013
influence,-1.0,1.9155253328225266,2.553300140431508,1.3244805838717562,held,SP-2013
stem,1.0,10.535389330523897,2.978850163836759,0.28613497994852244,reverses,SP-2013
testing,-1.0,3.831050665645053,5.106600280863016,1.3286609027058291,held,SP-2013
used,-0.7999999999999999,17.23972799540274,17.873100983020553,1.036632906416239,held,SP-2013
develop,-1.0,8.61986399770137,20.00085110004681,2.312706532116636,reverses,SP-2013
associated,-0.7999999999999999,20.11301599463653,20.426401123452063,1.0155425720486904,held,SP-2013
science,0.7999999999999999,13.408677329757687,20.426401123452063,1.521427449499655,held,SP-2013
subpopulation,-0.7999999999999999,0.0,0.4255500234052513,9.511000468105024,reverses,SP-2013
form,-1.0,3.831050665645053,4.681050257457764,1.219012753256968,held,SP-2013
animal,-1.0,3.831050665645053,9.362100514915529,2.4251423971944424,reverses,SP-2013
increasing,-0.7999999999999999,2.87328799923379,1.702200093621005,0.599393591763886,held,SP-2013
studied,-1.0,1.9155253328225266,2.1277501170262565,1.1079735685212317,held,SP-2013
met,0.7999999999999999,16.281965328991475,46.81050257457764,2.8692506768547825,continues,SP-2013
imaging,1.0,11.49315199693516,6.383250351078769,0.5573218088774081,held,SP-2013
estimate,-0.7999999999999999,6.7043386648788434,5.957700327673518,0.8894579655758617,held,SP-2013
based,1.0,14.36643999616895,11.064300608536534,0.7709462676978552,held,SP-2013
short-term,-1.0,0.0,1.702200093621005,35.044001872420104,reverses,SP-2013
theme,-1.0,0.9577626664112633,0.0,0.049614856420564436,continues,SP-2013
feature,-0.7999999999999999,1.9155253328225266,2.1277501170262565,1.1079735685212317,held,SP-2013
limited,-1.0,6.7043386648788434,8.936550491510276,1.3304856237426281,held,SP-2013
happen,-0.7999999999999999,9.577626664112634,4.255500234052513,0.4472026579615346,continues,SP-2013
significantly,-0.6000000000000001,2.87328799923379,9.78765053832078,3.365269019302677,reverses,SP-2013
scientific,-1.0,4.788813332056317,12.340950678752288,2.560741617508645,reverses,SP-2013
priority,-1.0,3.831050665645053,3.8299502106472616,0.9997164543592454,held,SP-2013
community,-0.7999999999999999,28.7328799923379,49.36380271500915,1.716777568060016,held,SP-2013
turn,-0.7999999999999999,7.662101331290106,2.978850163836759,0.3927399334793339,continues,SP-2013
enhance,-1.0,2.87328799923379,5.106600280863016,1.76397271914864,held,SP-2013
report,1.0,15.324202662580213,10.213200561726032,0.6675598590036789,held,SP-2013
assessment,-1.0,4.788813332056317,8.085450444699774,1.6812904087049187,held,SP-2013
disorder,-1.0,39.2682693228618,33.61845184901485,0.8563055401179158,held,SP-2013
method,-1.0,5.74657599846758,13.61760074896804,2.35787484759646,reverses,SP-2013
currently,-1.0,4.788813332056317,11.064300608536534,2.2969062548675274,reverses,SP-2013
efficacy,-1.0,3.831050665645053,11.064300608536534,2.8637349949898874,reverses,SP-2013
use,-1.0,20.11301599463653,22.55415124047832,1.121069945413481,held,SP-2013
opportunity,-1.0,13.408677329757687,53.61930294906166,3.987710057540099,reverses,SP-2013
prevalence,0.7999999999999999,27.775117325926637,16.5964509128048,0.5982526764512192,held,SP-2013
pediatric,1.0,12.450914663346422,4.255500234052513,0.3444148168354871,reverses,SP-2013
inform,-1.0,0.0,3.40440018724201,69.0880037448402,reverses,SP-2013
wide,-0.7999999999999999,2.87328799923379,5.106600280863016,1.76397271914864,held,SP-2013
environmental,-1.0,23.94406666028158,22.12860121707307,0.9243369009133524,held,SP-2013
safety,-1.0,2.87328799923379,9.78765053832078,3.365269019302677,reverses,SP-2013
rate,1.0,15.324202662580213,3.40440018724201,0.22468808711945695,reverses,SP-2013
advance,0.7999999999999999,8.61986399770137,20.00085110004681,2.312706532116636,continues,SP-2013
developmental,-0.7999999999999999,16.281965328991475,15.319800842589046,0.9410870359432827,held,SP-2013
educational,-1.0,2.87328799923379,3.8299502106472616,1.3272555463793572,held,SP-2013
speak,0.7999999999999999,20.11301599463653,8.936550491510276,0.4456947558788203,reverses,SP-2013
know,-1.0,1.9155253328225266,0.8511000468105026,0.4584525224696586,continues,SP-2013
facilitate,-1.0,0.9577626664112633,4.681050257457764,4.694607584844827,reverses,SP-2013
lead,-1.0,3.831050665645053,5.106600280863016,1.3286609027058291,held,SP-2013
diverse,-1.0,2.87328799923379,11.489850631941785,3.947558582995054,reverses,SP-2013
promising,-0.7999999999999999,4.788813332056317,6.383250351078769,1.3295099251834284,held,SP-2013
mechanism,0.7999999999999999,15.324202662580213,10.213200561726032,0.6675598590036789,held,SP-2013
addm,0.7999999999999999,10.535389330523897,10.213200561726032,0.9695628796695455,held,SP-2013
