doc_id,series,year,share_of_draft_found_in_doc,share_of_doc_found_in_draft,shared_shingles
SP-2023,strategic-plan,2023,0.00017479665322674623,0.000428932276359477,14
RTC-2023,report-to-congress,2023,6.991866129069849e-05,8.683822039540337e-05,6
SP-2019,strategic-plan,2019,6.991866129069849e-05,0.00019232248634510346,5
RTC-2017,report-to-congress,2017,5.826555107558207e-05,0.00017007959725151372,5
RTC-2012,report-to-congress,2012,4.661244086046566e-05,0.00021674734484502565,4
PA-2022,portfolio-analysis,2022,4.661244086046566e-05,0.00018213609208800815,4
PA-2020,portfolio-analysis,2020,4.661244086046566e-05,0.00012410027302060066,4
SP-2017,strategic-plan,2017,4.661244086046566e-05,5.950019833399445e-05,3
RTC-2018,report-to-congress,2018,3.4959330645349244e-05,5.970981032183588e-05,3
RTC-2009,report-to-congress,2009,2.330622043023283e-05,0.00017036500702755653,2
SP-2010,strategic-plan,2010,1.1653110215116415e-05,5.861664712778429e-05,1
SOA-2009,summary-of-advances,2009,1.1653110215116415e-05,0.00016239038648911984,1
PA-2018,portfolio-analysis,2018,1.1653110215116415e-05,4.135478268061701e-05,1
PA-2016,portfolio-analysis,2016,1.1653110215116415e-05,5.049484952534841e-05,1
SOA-2018,summary-of-advances,2018,1.1653110215116415e-05,9.425959091337543e-05,1
SP-2009,strategic-plan,2009,1.1653110215116415e-05,9.259259259259259e-05,1
PA-2015,portfolio-analysis,2015,1.1653110215116415e-05,3.110419906687403e-05,1
SOA-2019,summary-of-advances,2019,1.1653110215116415e-05,6.774608766343743e-05,1
SOA-2020,summary-of-advances,2020,1.1653110215116415e-05,9.903931860948797e-05,1
SOA-2010,summary-of-advances,2010,1.1653110215116415e-05,0.0001361285053090117,1
SOA-2021,summary-of-advances,2021,1.1653110215116415e-05,9.325748391308402e-05,1
PA-2010,portfolio-analysis,2010,1.1653110215116415e-05,4.984299456711359e-05,1
SOA-2017,summary-of-advances,2017,1.1653110215116415e-05,7.980845969672785e-05,1
RTC-2022,report-to-congress,2022,1.1653110215116415e-05,2.4078979051288225e-05,1
SOA-2022,summary-of-advances,2022,1.1653110215116415e-05,8.229775327133569e-05,1
SOA-2011,summary-of-advances,2011,1.1653110215116415e-05,0.00013931457230426304,1
SP-2011,strategic-plan,2011,1.1653110215116415e-05,2.6238455079764903e-05,1
SOA-2023,summary-of-advances,2023,1.1653110215116415e-05,8.565310492505354e-05,1
RTC-2021,report-to-congress,2021,0.0,0.0,0
SOA-2007,summary-of-advances,2007,0.0,0.0,0
SOA-2016,summary-of-advances,2016,0.0,0.0,0
IPA-2016,international-portfolio-analysis,2016,0.0,0.0,0
USPSTF-2016,autism,2016,0.0,0.0,0
PA-2008,portfolio-analysis,2008,0.0,0.0,0
SOA-2014,summary-of-advances,2014,0.0,0.0,0
SOA-2013,summary-of-advances,2013,0.0,0.0,0
SP-2013,strategic-plan,2013,0.0,0.0,0
PA-2013,portfolio-analysis,2013,0.0,0.0,0
SOA-2012,summary-of-advances,2012,0.0,0.0,0
SP-2012,strategic-plan,2012,0.0,0.0,0
PUBA-2012,publications-analysis,2012,0.0,0.0,0
PA-2012,portfolio-analysis,2012,0.0,0.0,0
PA-2009,portfolio-analysis,2009,0.0,0.0,0
SOA-2008,summary-of-advances,2008,0.0,0.0,0
SOA-2015,summary-of-advances,2015,0.0,0.0,0
