held_out_document,term,stem,direction,spearman_rho_refit,pool_mean_2018_on_per10k,held_out_rate_per10k,ratio_to_pool_mean,verdict
SP-2026-DRAFT,college,college,rising,0.748,3.45,0.54,0.16,reverses trend
SP-2026-DRAFT,veterans,veteran,rising,0.717,2.4,0.0,0.004,reverses trend
SP-2026-DRAFT,accessibility,accessibility,rising,0.715,2.17,1.81,0.835,reverses trend
SP-2026-DRAFT,suicide,suicide,rising,0.699,6.62,2.18,0.33,reverses trend
SP-2026-DRAFT,prefer,prefer,rising,0.695,1.81,0.0,0.006,reverses trend
SP-2026-DRAFT,equity,equity,rising,0.672,2.45,0.36,0.151,reverses trend
SP-2026-DRAFT,arts,arts,rising,0.658,2.39,0.0,0.004,reverses trend
SP-2026-DRAFT,care,care,rising,0.655,43.31,54.58,1.26,continues trend
SP-2026-DRAFT,ensuring,ensuring,rising,0.654,2.37,0.73,0.309,reverses trend
SP-2026-DRAFT,regulation,regulation,rising,0.633,2.91,5.26,1.802,continues trend
SP-2026-DRAFT,demographic,demographic,rising,0.63,3.46,0.18,0.055,reverses trend
SP-2026-DRAFT,leadership,leadership,rising,0.624,2.62,0.73,0.28,reverses trend
SP-2026-DRAFT,inpatient,inpatient,rising,0.623,2.06,0.91,0.442,reverses trend
SP-2026-DRAFT,justice,justice,rising,0.611,5.11,0.0,0.002,reverses trend
SP-2026-DRAFT,accountability,accountability,rising,0.61,1.43,17.23,11.981,continues trend
SP-2026-DRAFT,health,health,rising,0.61,111.06,46.96,0.423,reverses trend
SP-2026-DRAFT,living,living,rising,0.596,14.51,5.44,0.375,reverses trend
SP-2026-DRAFT,sex,sex,rising,0.596,5.43,1.63,0.302,reverses trend
SP-2026-DRAFT,improving,improving,rising,0.594,8.23,2.36,0.287,reverses trend
SP-2026-DRAFT,physical,physical,rising,0.593,10.85,2.72,0.251,reverses trend
SP-2026-DRAFT,outcomes,outcome,rising,0.593,35.64,52.95,1.486,continues trend
SP-2026-DRAFT,receipt,receipt,rising,0.591,1.17,0.18,0.162,reverses trend
SP-2026-DRAFT,accessible,accessible,rising,0.591,3.13,3.08,0.984,reverses trend
SP-2026-DRAFT,legislation,legislation,rising,0.588,0.98,0.0,0.01,reverses trend
SP-2026-DRAFT,access,access,rising,0.582,22.42,46.6,2.078,continues trend
SP-2026-DRAFT,racial,racial,rising,0.581,9.53,0.73,0.077,reverses trend
SP-2026-DRAFT,emotion,emotion,rising,0.58,2.81,0.18,0.068,reverses trend
SP-2026-DRAFT,spark,spark,rising,0.577,1.41,0.0,0.007,reverses trend
SP-2026-DRAFT,eligibility,eligibility,rising,0.568,2.74,2.72,0.993,reverses trend
SP-2026-DRAFT,eligible,eligible,rising,0.565,3.57,0.18,0.054,reverses trend
