term,stem,spearman_rho,mean_per10k_before_2013,mean_per10k_2018_on,draft_per10k,n_docs,draft_verdict
suicide,suicide,0.6991140988734424,0.17286918430309756,6.61650921514247,2.175923407496056,21,reverses trend
justice,justice,0.6113024424129229,0.4458952786491492,5.110727615473177,0.0,19,reverses trend
health,health,0.6101700017673334,60.84280204809829,111.05620331190804,46.96368021178988,45,reverses trend
living,living,0.5957061314736825,6.443530569577457,14.510979681420004,5.439808518740141,40,reverses trend
sex,sex,0.5955693593851881,0.6272442031554284,5.42701784894322,1.6319425556220422,33,reverses trend
improving,improving,0.5938915225898985,2.991330797625688,8.226369420068465,2.357250358120728,41,reverses trend
physical,physical,0.5930901859811869,3.4625037562613876,10.84769282811128,2.7199042593700704,34,reverses trend
racial,racial,0.5808161660461387,1.5137650100509805,9.526910816237148,0.7253078024986854,35,reverses trend
disparities,disparity,0.5645236652166524,3.464575599714231,19.83220013492456,1.2692886543726996,37,reverses trend
receive,receive,0.5582899362037584,4.661800343810359,11.447950786198616,3.9891929137427695,43,reverses trend
experience,experience,0.5456624642776722,3.221382748865907,11.505461304882585,3.9891929137427695,35,reverses trend
adulthood,adulthood,0.5349858636360255,3.495272526656098,11.927098298851169,2.175923407496056,40,reverses trend
meet,meet,0.5008930880329054,2.7012623614348135,7.883905054883839,2.7199042593700704,38,reverses trend
