document,year,n_prior_docs,n_docs_in_window,n_strong_terms,reversed,pct
PA-2013,2013,17,17,52,25,48.1
SP-2013,2013,17,17,52,13,25.0
SOA-2013,2013,17,17,52,34,65.4
SOA-2014,2014,20,20,74,34,45.9
SOA-2015,2015,21,21,70,30,42.9
PA-2015,2015,21,21,70,42,60.0
USPSTF-2016,2016,23,22,58,44,75.9
IPA-2016,2016,23,22,58,39,67.2
PA-2016,2016,23,22,58,29,50.0
SOA-2016,2016,23,22,58,30,51.7
SP-2017,2017,27,24,33,20,60.6
RTC-2017,2017,27,24,33,19,57.6
SOA-2017,2017,27,24,33,13,39.4
SOA-2018,2018,30,23,28,13,46.4
PA-2018,2018,30,23,28,14,50.0
RTC-2018,2018,30,23,28,14,50.0
SOA-2019,2019,33,23,38,10,26.3
SP-2019,2019,33,23,38,16,42.1
PA-2020,2020,35,23,46,27,58.7
SOA-2020,2020,35,23,46,26,56.5
RTC-2021,2021,37,20,45,19,42.2
SOA-2021,2021,37,20,45,20,44.4
RTC-2022,2022,39,19,48,16,33.3
PA-2022,2022,39,19,48,26,54.2
SOA-2022,2022,39,19,48,21,43.8
SP-2023,2023,42,21,56,27,48.2
SOA-2023,2023,42,21,56,23,41.1
RTC-2023,2023,42,21,56,20,35.7
SP-2026-DRAFT,2026,45,15,80,55,68.8
